"FilePath","Width","Height","Category","EngineeringTags","RecommendedUsage","CropRatio","QualityStatus","RequiredAction","ReplacementPriority"
"assets/applications/residential/mobile-houses/arched-mobile-cabin-door-module.png","828","1792","accessories; factory; logistics; projects","TRIM; QC CHECKPOINT; LOADING; PROJECT EVIDENCE","detail evidence; factory / QC evidence; logistics and project delivery evidence; project evidence","16:9","review","replace if unrealistic","high"
"assets/applications/residential/mobile-houses/blue-mobile-cabin-window-module.png","2560","1710","accessories; factory; logistics; projects","TRIM; QC CHECKPOINT; LOADING; PROJECT EVIDENCE","detail evidence; factory / QC evidence; logistics and project delivery evidence; project evidence","16:9","review","replace if unrealistic","high"
"assets/applications/residential/prefab-houses/blue-prefab-house-window-module.png","2560","1710","accessories; factory; logistics; projects","TRIM; QC CHECKPOINT; LOADING; PROJECT EVIDENCE","detail evidence; factory / QC evidence; logistics and project delivery evidence; project evidence","16:9","review","replace if unrealistic","high"
"assets/applications/residential/prefab-houses/arched-prefab-house-door-detail.png","828","1792","accessories; logistics; projects","TRIM; LOADING; PROJECT EVIDENCE","detail evidence; logistics and project delivery evidence; project evidence","16:9","usable","crop","high"
"assets/applications/residential/prefab-houses/gray-prefab-house-corner-glazing.png","1156","867","accessories; logistics; projects","TRIM; CORNER; LOADING; PROJECT EVIDENCE","detail evidence; logistics and project delivery evidence; project evidence","16:9","review","replace if unrealistic","high"
"assets/applications/commercial/office-buildings/office-facade-corrugated-metal-detail.jpg","1080","1456","accessories; product structure; factory; projects","TRIM; INTERLOCK; QC CHECKPOINT; PROJECT EVIDENCE","detail evidence; panel field / interlock evidence; factory / QC evidence; project evidence","1:1","usable","crop","high"
"assets/applications/residential/container-homes/container-unit-metal-siding-detail.JPG","1024","768","accessories; product structure; logistics","TRIM; INTERLOCK; LOADING","detail evidence; panel field / interlock evidence; logistics and project delivery evidence","16:9","usable","crop","high"
"assets/applications/industrial/poultry-houses/poultry-house-metal-facade-detail.JPG","4032","3024","accessories; product structure; projects","TRIM; INTERLOCK; PROJECT EVIDENCE","detail evidence; panel field / interlock evidence; project evidence","1:1","usable","crop","high"
"assets/applications/residential/expandable-houses/expandable-unit-metal-detail.JPG","1080","817","accessories; product structure; projects","TRIM; INTERLOCK; PROJECT EVIDENCE","detail evidence; panel field / interlock evidence; project evidence","1:1","usable","crop","high"
"assets/applications/residential/standard-houses/urban-house-wall-cladding-detail.jpg","1276","956","accessories; product structure; projects","TRIM; INTERLOCK; PROJECT EVIDENCE","detail evidence; panel field / interlock evidence; project evidence","1:1","usable","crop","high"
