"ProcessedPath","SourcePath","Category","Usage","Crop"
"assets/processed/engineering-evidence/projects/project-evidence-retail-facade.jpg","assets/applications/commercial/retail-stores/retail-storefront-modern-cladding.jpg","projects","Technical Center project evidence","16:9"
"assets/processed/engineering-evidence/installation/installation-white-panel-sequence.jpg","assets/applications/commercial/office-buildings/office-exterior-installation-white-panels.jpg","installation","Installation sequence evidence","16:9"
"assets/processed/engineering-evidence/installation/prefab-panel-installation-step.jpg","assets/applications/residential/prefab-houses/yellow-prefab-house-panel-installation.jpg","installation","Prefab installation frame","16:9"
"assets/processed/engineering-evidence/installation/renovation-cladding-installation-detail.jpg","assets/applications/residential/renovation/renovation-installation-cladding-detail.jpg","installation","Detail evidence","1:1"
"assets/processed/engineering-evidence/product-structure/corrugated-metal-panel-detail.jpg","assets/applications/commercial/office-buildings/office-facade-corrugated-metal-detail.jpg","product-structure","Panel detail / interlock evidence","1:1"
"assets/processed/engineering-evidence/product-structure/container-metal-siding-detail.jpg","assets/applications/residential/container-homes/container-unit-metal-siding-detail.JPG","product-structure","Product structure detail","1:1"
"assets/processed/engineering-evidence/accessories/corner-opening-trim-reference.jpg","assets/applications/residential/prefab-houses/gray-prefab-house-corner-glazing.png","accessories","Corner / opening trim evidence","1:1"
"assets/processed/engineering-evidence/accessories/door-opening-trim-detail.jpg","assets/applications/residential/prefab-houses/arched-prefab-house-door-detail.png","accessories","Opening trim detail","1:1"
"assets/processed/engineering-evidence/factory/factory-assembly-qc-frame.jpg","assets/applications/residential/prefab-houses/modular-prefab-house-factory-assembly.png","factory","Factory / QC evidence","16:9"
"assets/processed/engineering-evidence/factory/mobile-house-factory-assembly.jpg","assets/applications/residential/mobile-houses/blue-mobile-house-factory-assembly.png","factory","Manufacturing workflow evidence","16:9"
"assets/processed/engineering-evidence/logistics/transportable-house-site-logistics.jpg","assets/applications/residential/mobile-houses/transportable-mobile-house-site-exterior.png","logistics","Logistics / delivery evidence","16:9"
"assets/processed/engineering-evidence/site-handling/movable-house-site-handling.jpg","assets/applications/residential/mobile-houses/yellow-movable-house-site-assembly.jpg","site-handling","Site handling / assembly evidence","16:9"
"assets/processed/engineering-evidence/installation/workshop-metal-installation-assembly.jpg","assets/applications/industrial/workshops/workshop-installation-metal-assembly.JPG","installation","Industrial installation evidence","16:9"
"assets/processed/engineering-evidence/installation/government-unit-facade-installation-detail.jpg","assets/applications/public/government-housing/government-unit-facade-installation-detail.jpg","installation","Installation detail evidence","1:1"
"assets/processed/engineering-evidence/waterproof/metal-facade-joint-detail-waterproof-proxy.jpg","assets/applications/industrial/poultry-houses/poultry-house-metal-facade-detail.JPG","waterproof","Waterproof joint proxy; needs true water-path image","1:1"
